Latitude;Longitude;American;Chinese;French;Greek;Indian;Italian;Japanese;Mexican;Spanish;Thai;Turkish;Lebanese;Moroccan;Bangladeshi;German;Middle Eastern;African;Vietnamese;Croatian;Portuguese;English;Persian;Dutch;Hawaiian
55.6043191;13.0032264;true;true;true;true;true;true;true;false;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.0641497;28.9976413;false;true;true;false;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
40.9313164;29.1247032;true;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.2356410;29.0076934;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.5153780;-0.0677558;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
-37.1415222;175.5368392;true;true;false;false;true;true;true;false;false;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.0787620;29.0242494;true;true;false;false;true;true;true;true;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
39.8855683;32.7769385;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
3.1336322;101.6883724;false;true;true;false;true;true;true;false;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
53.7169887;-1.6350886;true;true;false;true;true;true;true;false;false;false;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
62.2406000;25.7467000;true;true;false;false;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.2699595;10.2922898;true;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a
32.8337853;-117.1643281;true;true;false;false;false;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
60.1702530;24.9344490;true;true;false;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.6576805;-91.5379959;true;true;true;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
19.1771028;72.8765655;true;true;true;false;true;true;true;true;true;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
36.7375859;-119.7835939;true;true;false;false;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
27.9249436;-82.3075533;true;true;false;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
40.9387343;-74.2763350;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;true;n/a;n/a;n/a;n/a
53.2871000;-2.1418000;true;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;true;true;n/a;n/a
38.0432135;-84.5035653;true;true;true;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
46.0935525;-64.7493439;true;true;false;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
40.7739628;-73.9749369;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
37.6908218;-120.9626481;true;true;false;true;false;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.0448980;29.0096220;false;false;false;false;false;false;false;false;false;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
55.6609319;12.5901387;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
53.1430014;8.2067450;true;true;false;true;true;true;false;false;false;true;n/a;n/a;n/a;n/a;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
26.1263343;-80.2878685;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
55.8666892;-4.2325701;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.3431834;5.8741981;true;true;false;true;false;true;true;true;false;false;true;n/a;n/a;n/a;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;true;n/a
29.1803355;-81.0596386;true;true;false;false;false;true;false;true;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
39.9375749;-82.9937768;true;true;false;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
45.5165586;-122.6860054;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
43.0796839;-88.7284522;true;true;false;false;false;true;true;true;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
34.1671752;-118.3646208;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
54.9614477;-1.5822353;true;true;false;false;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
41.2456588;-82.1206912;true;true;false;true;false;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.5077471;-0.1216022;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
44.0950017;8.2325376;false;true;false;false;false;true;true;false;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
50.8206442;-0.1316284;true;false;true;false;true;true;false;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
36.9605131;14.5892183;true;true;false;false;false;true;true;false;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
53.8660483;-1.7002199;true;true;false;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;true;n/a;n/a;n/a
33.5311048;-82.1786415;true;true;false;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;true
38.0000000;-121.4000000;true;true;false;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
28.4131109;77.0501615;true;false;false;false;true;false;false;false;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
38.8909644;-77.0310218;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.3269261;0.4295700;true;true;true;false;true;true;true;false;false;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
34.0596097;-118.4299874;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
18.9152980;72.8248900;false;true;true;false;true;true;false;true;true;false;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
51.9751517;-2.1052418;true;true;false;true;true;true;true;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
52.4526273;7.9850237;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
50.0914827;8.2167789;true;true;true;true;true;true;false;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
42.3932897;-71.9462446;false;true;false;false;false;false;false;true;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
47.8098600;13.0525216;true;true;false;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
28.5718667;77.3133212;true;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
50.1130649;8.7543985;false;true;true;true;true;true;true;false;false;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
50.1130682;8.7544380;false;true;true;true;true;true;true;true;true;true;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a